派系名稱,成員總數,核心領袖,所有成員
A,28,黃氏兄弟,Joeman | 胡子Huz | Candy-孟潔 | 我是阿樂-林妤臻 | 阿翰po影片 | 3cTim哥生活的日常 | 這群人-董仔 | 囂搞-Shaogao | 彼得爸與蘇珊媽 | 元-元 | 陳彥婷 | 瑀熙-Yuci | 這群人TGOP | 魚乾 | Yun-Chou | 那那大師 | 恩熙俊-aka-MC-Jeng | Bobo-TV | 三個麻瓜 | Aries艾瑞絲 | 蕭志瑋 | Ian&Eric | 小尾巴 | 黃氏兄弟 | 關韶文 | GINA-HELLO! | 安啾咪 | 有璟妍精요찡옌찡
B,11,一隻阿圓,Evelyn-Chen-理科太太 | 魔術Channel---Davio | 那個女生-Kiki | 紀卜心-Kimi | 見習網美小吳 | Sandy-&-Mandy | PEETA葛格 | 飽妮 | 一隻阿圓 | 這群人-尼克 | 白癡公主
C,7,Onion-man-洋蔥先生與阿文,J-Bao賤葆 | 大蛇丸 | 志祺七七 | 廚佛瑞德Fred | 木曜4超玩 | Onion-man-洋蔥先生與阿文 | 鹿人
D,7,蔡哥,How-Fun-如何爽 | 尤汐伯夷 | 千千進食中 | 我得了一種吃菜就會死的病-微疼 | 廉傑克曼 | 蔡哥 | 鐵牛-Ironbull
E,5,滴妹,黃大謙 | 貓貓蟲-咖波 | 阿滴英文 | 滴妹 | HOOK
F,5,羚小鹿,羚小鹿 | Sunnie-陸筱晴 | 小A辣 | 林進-飛醺卑鄙-fashion-baby | 琳妲-林羿禎
G,4,江老師,卡特-Kart | HahaTai-哈哈台 | 江老師 | 崔&雪莉&Jon
H,3,蔡阿嘎,蔡阿嘎 | 嘎嫂二伯 | 蔡桃貴
I,3,鵝鵝就是鵝鵝,鵝鵝就是鵝鵝 | 咪妃Julia | 喪屍老爸
J,2,阿啾繪圖同萌,阿啾繪圖同萌 | 啾啾妹-by-LIIN
K,2,上發條俱樂部,上發條俱樂部 | 連環泡有芒果
L,2,健人蓋伊,人類超有病-Baxuan | 健人蓋伊
M (其他小群),10,小葵-XiaoKui,Men's-Game-玩物誌 | 我是老爸-我不要當爸! | Six-Wang | 現在宅知道 | 小葵-XiaoKui | 閃電狼Flash-Wolves | 黃小米-Mii | 77老大 | Mom-&-Dad | 台灣吧
0-Degree (孤島),111,N/A,黃阿瑪的後宮生活 | 小象愛出門 | 那對夫妻 | PanSci-泛科學 | 欸你這週要幹嘛 | 好味小姐 | 那些電影教我的事 | 豆漿--Soybean-Milk | Andy老師 | 超認真少年-I'm-Serious | 三原慧悟-Sanyuan_JAPAN | KEOKI-BLACK布萊克薛薛 | 厭世甜點店 | 丹妮婊姐 | 泱泱LYNN | 丁特-Dinter | 愛里 | Ru's-Piano-Ru味春捲 | 愛莉莎莎-Alisasa | Charlene-Liu-查理 | 波蘭女孩x台灣男孩-在家環遊世界 | Emma艾瑪 | 蘿潔塔的廚房 | 百變沛莉-Peri | 蛋事超有事EggThings | 雨揚樂活家族 | 肉比頭Zoebitalk | 人生肥宅x尊 | 融融歷險記-Ben’s-Adventure | 星期天 | MaoMaoTV | 兔女狼 | 莫彩曦Hailey | 星光奈奈 | Gary蓋瑞 | Jason-Chen-陳以桐 | 台灣妞韓國媳 | cheap-鄭才暐 | 王宏哲教養、育兒寶典 | High咖-邱志恒 | Lobo-蘿蔔 | 鼻妹的廢話亂畫 | Sandy-珊迪 | 可可酒精 | 吃貨豪豪 | 電瀨少女-女孩的科技日常 | Ciao!-Kitchen | 超粒方 | 麻糬爸 | Lilyflute長笛姐姐 | Wecook123-料理123 | 泥泥汝niniru | 艾爾文 | DE-JuN | 小熊-Yuniko | IFBB-Pro-Lin-Ching-Chieh-林敬傑 | 找蔬食-Traveggo | Patti-Huang | 強運少女日本日記RU-in-Japan/ | 邱沁宜 | 阿淇博士-Dr.Achi | Ines-Wang | 史丹利視角的體育世界 | 豹子腿方昶詠 | 羅小白 | 阿慈車庫-Dream-garage | 痘疤醫生---莊盈彥醫師 | 英雄日常Heroisme | 籃靖玟 | Peter-Su | SMG-Sirenia海牛 | Coffee-Time | 魯蛋的頻道 | 含羞草日記 | 辣媽Shania | 傲嬌爸的養貓日常 | 胡采蘋-Emmy-Hu | LoganDBeck-小貝 | 林萱-Shiuan | 日本藥妝失心瘋 | Campfire營火部落 | BlaireChen-左撇子 | 莊政威-Cliff-Chuang | 貝莉莓 | 周小葳 | 柴犬Nana和阿楞的一天 | 維思維 | 肉肉Neneko | 牛排 | 希露弟弟啃雞腿 | 黃山料 | Natalie吳斐莉 | 黃帝筱清Virus | 村子裡的凱莉哥 | 老王-oldwang | 處女座媽媽的瑣碎日常 | 虎麗笑嗨嗨 | 老王愛說笑 | 崔咪Tramy | Cindy-H | MR.JOE-HOBBY.tv | Goris-Sky | 依梨 | 許允樂的老兵魂 | 鬧著玩娛樂 | 林淑芬2.0 | Meg-今天穿什麼 | 小凱老師 | 紫玥桃 | Linzin-阿哲 | 大H-陳建昕
