Original_Rank,Person_Name,In_Degree (被標記數),Out_Degree (主動標記數),Mutual_Follow (互標數),Network_Influence_Score,Betweenness_Centrality,ig_url,posts,Followers,Following,category
1,蔡阿嘎,146,50,3,73.36683417085426,0.005051,https://www.instagram.com/yga0721/,8178,1495461,501,趣味搞笑
2,Joeman,3,8,1,1.507537688442211,0.001777,https://www.instagram.com/joemanweng/,1615,666819,996,"美食料理,3C科技,趣味搞笑"
3,黃阿瑪的後宮生活,0,0,0,0.0,0.0,https://www.instagram.com/fumeancat/,4550,1050878,159,寵物
4,千千進食中,9,3,2,4.522613065326634,0.0036,https://www.instagram.com/khshu_/,1002,891802,974,美食料理
5,小象愛出門,0,0,0,0.0,0.0,https://www.instagram.com/elephant_gogo/,1888,183273,1129,"美食料理,旅遊"
6,那對夫妻,0,0,0,0.0,0.0,https://www.instagram.com/1006nk/,3146,1030978,3,"趣味搞笑,家庭母嬰,表演藝術"
7,How-Fun-如何爽,2,2,2,1.0050251256281406,0.0,https://www.instagram.com/howhowhasfriends,1921,523443,103,趣味搞笑
8,PanSci-泛科學,0,0,0,0.0,0.0,https://www.instagram.com/pansci/,1453,283652,399,知識教育
9,一隻阿圓,32,2,1,16.08040201005025,0.007377,https://www.instagram.com/nanaciaociao/,3373,563686,593,"美妝保養,時尚潮流,旅遊"
10,欸你這週要幹嘛,0,0,0,0.0,0.0,https://www.instagram.com/arielsvlog_816/,1411,708449,473,趣味搞笑
11,77老大,0,1,0,0.0,0.0,https://www.instagram.com/zamy_ding/,1054,395721,591,"醫療健康,知識教育"
12,那個女生-Kiki,0,3,0,0.0,0.0,https://www.instagram.com/minikiki_0529/,1099,289658,511,"美食料理,知識教育"
13,阿滴英文,14,38,2,7.035175879396985,0.006425,https://www.instagram.com/rayduenglish/,1570,1089513,2228,知識教育
14,好味小姐,0,0,0,0.0,0.0,https://www.instagram.com/ladyflavor_nowpo/,472,205735,9,"美食料理,寵物"
15,廉傑克曼,2,5,2,1.0050251256281406,0.001624,https://www.instagram.com/jaychang0127/,1855,415002,4032,遊戲電玩
16,江老師,3,1,0,1.507537688442211,5.1e-05,https://www.instagram.com/teacherchiang,1922,308786,624,"表演藝術,時尚潮流,家庭母嬰"
17,那些電影教我的事,0,0,0,0.0,0.0,https://www.instagram.com/lessonsfrommovies/,6816,1484140,87,影視評論
18,豆漿--Soybean-Milk,0,0,0,0.0,0.0,https://www.instagram.com/soybeanmilk_cat/,2242,433921,34,寵物
19,Onion-man-洋蔥先生與阿文,20,4,2,10.050251256281408,0.00343,https://www.instagram.com/onionman__/,1177,458424,925,"表演藝術,趣味搞笑"
20,人類超有病-Baxuan,0,1,0,0.0,0.0,https://www.instagram.com/baxuan_ig/,1066,742233,2830,"表演藝術,趣味搞笑"
21,大蛇丸,0,19,0,0.0,0.0,https://www.instagram.com/jam_cutepig/,882,551530,390,趣味搞笑
22,Andy老師,0,0,0,0.0,0.0,https://www.instagram.com/andy1994x/,391,1241259,57,"趣味搞笑,表演藝術"
23,超認真少年-I'm-Serious,0,0,0,0.0,0.0,https://www.instagram.com/imseriou/,1529,138411,751,知識教育
24,三原慧悟-Sanyuan_JAPAN,0,0,0,0.0,0.0,https://www.instagram.com/sanyuan_japan/,1147,229384,595,"旅遊,趣味搞笑"
25,貓貓蟲-咖波,0,1,0,0.0,0.0,https://www.instagram.com/bugcat_capoo/,1735,2136350,291,表演藝術
26,Ian&Eric,5,2,0,2.512562814070352,0.002589,https://www.instagram.com/thedodomen/,1101,609185,482,"旅遊,趣味搞笑"
27,黃氏兄弟,11,10,1,5.527638190954774,0.006599,https://www.instagram.com/huangbrotherss/,476,454084,2,"趣味搞笑,表演藝術"
28,我得了一種吃菜就會死的病-微疼,0,1,0,0.0,0.0,https://www.instagram.com/weiteng0710/,1429,322374,1071,"表演藝術,趣味搞笑"
29,琳妲-林羿禎,1,5,1,0.5025125628140703,0.000102,https://www.instagram.com/linda831212/,5232,1036871,2416,"表演藝術,趣味搞笑"
30,白癡公主,2,3,1,1.0050251256281406,0.00231,https://www.instagram.com/87acup/,1801,1002519,515,趣味搞笑
31,KEOKI-BLACK布萊克薛薛,0,0,0,0.0,0.0,https://www.instagram.com/k3okii/,1396,232109,389,"旅遊,美食料理"
32,厭世甜點店,0,0,0,0.0,0.0,https://www.instagram.com/energydessert2019/,1266,145675,494,美食料理
33,陳彥婷,1,1,0,0.5025125628140703,5.1e-05,https://www.instagram.com/thetiffanychen/,2147,642973,352,趣味搞笑
34,魚乾,4,3,1,2.0100502512562812,0.000609,https://www.instagram.com/annie72127/,1809,350257,500,"寵物,遊戲電玩,趣味搞笑"
35,志祺七七,1,1,0,0.5025125628140703,0.000863,https://www.instagram.com/shasha77.daily/,1093,238862,552,"知識教育,時事討論,高階經理人"
36,HOOK,2,0,0,1.0050251256281406,0.0,https://www.instagram.com/helloiamhook/,1154,648553,448,"寵物,旅遊,美食料理"
37,木曜4超玩,2,1,0,1.0050251256281406,0.0,https://www.instagram.com/muyao4/,817,342007,71,旅遊
38,丹妮婊姐,0,0,0,0.0,0.0,https://www.instagram.com/dannybeeech/,1232,257954,2,"美妝保養,時尚潮流,趣味搞笑"
39,泱泱LYNN,0,0,0,0.0,0.0,https://www.instagram.com/lynnwu0219_2/,21,76276,93,帶貨分潤
40,HahaTai-哈哈台,1,1,0,0.5025125628140703,5.1e-05,https://www.instagram.com/hahatai_official/,2719,335359,1092,趣味搞笑
41,丁特-Dinter,0,0,0,0.0,0.0,https://www.instagram.com/dinteroffical/,7,833,2,遊戲電玩
42,彼得爸與蘇珊媽,1,0,0,0.5025125628140703,0.0,https://www.instagram.com/peter_and_susan/,3181,115573,1267,"旅遊,家庭母嬰,帶貨分潤"
43,阿翰po影片,0,5,0,0.0,0.0,https://www.instagram.com/hanhanpovideo/,714,663533,1782,趣味搞笑
44,愛里,0,0,0,0.0,0.0,https://www.instagram.com/allie.liao/,180,621595,1325,"知識教育,趣味搞笑"
45,這群人-尼克,1,6,0,0.5025125628140703,0.00033,https://www.instagram.com/nickwang1988/,2358,422848,646,"趣味搞笑,表演藝術"
46,蔡桃貴,1,33,1,0.5025125628140703,0.0,https://www.instagram.com/tsaigray2018/,4238,1150147,61,"家庭母嬰,趣味搞笑"
47,Ru's-Piano-Ru味春捲,0,0,0,0.0,0.0,https://www.instagram.com/ruruspiano/,1350,221940,697,表演藝術
48,阿啾繪圖同萌,1,0,0,0.5025125628140703,0.0,https://www.instagram.com/achu08177/,113,11113,489,"表演藝術,趣味搞笑"
49,黃大謙,1,3,0,0.5025125628140703,0.000871,https://www.instagram.com/da_chien_huang/,493,522301,493,趣味搞笑
50,愛莉莎莎-Alisasa,0,0,0,0.0,0.0,https://www.instagram.com/goodalicia/,1637,615843,1279,"美妝保養,時尚潮流"
51,見習網美小吳,4,4,1,2.0100502512562812,0.000812,https://www.instagram.com/beauty___wu/,1739,760960,770,"美妝保養,趣味搞笑"
52,Charlene-Liu-查理,0,0,0,0.0,0.0,https://www.instagram.com/coindevanity/,2880,344198,1016,"美妝保養,時尚潮流,旅遊"
53,PEETA葛格,3,5,1,1.507537688442211,0.005964,https://www.instagram.com/peeta.gege/,873,267433,1832,運動健身
54,波蘭女孩x台灣男孩-在家環遊世界,0,0,0,0.0,0.0,https://www.instagram.com/milasky_love/,600,115072,1042,"旅遊,美食料理"
55,連環泡有芒果,0,24,0,0.0,0.0,https://www.instagram.com/corgimango/,2043,218465,10,"美食料理,寵物,趣味搞笑"
56,Emma艾瑪,0,0,0,0.0,0.0,https://www.instagram.com/xollox121/,1901,206043,950,運動健身
